,characteristic_id,characteristic_description,units,dataset_label,dataset_url,theme_label,theme_url,characteristic_type
0,CAT_WILDFIRE_2011,percent of wild fires per catchments for 2011,percent,Estimated percent of catchment that experienced a wild fire in year XXXX.,https://www.sciencebase.gov/catalog/item/57f66d66e4b0bc0bec06de3a,Land Cover,unknown,localCatch_name
1,CAT_CONTACT,Subsurface flow contact time index. The subsurface contact time index estimates the number of days that infiltrated water resides in the saturated subsurface zone of the basin before discharging into the stream.,days,"Contact time, the length of time it takes for water to drain along subsurface flow paths to the stream, per NHDPlus version 2 catchment.",https://www.sciencebase.gov/catalog/item/56f96fc5e4b0a6037df06b12,Hydrologic,https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c,localCatch_name
2,CAT_EWT,Average depth to water table relatice to the land surface(meters),meters,Average depth to water table relative to land surface per NHDPlus version 2 catchment,https://www.sciencebase.gov/catalog/item/56f97456e4b0a6037df06b50,Hydrologic,https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c,localCatch_name
3,CAT_FUNGICIDE,"Fungicide use on agricultural land in kilograms per square kilometer, 2009 per NHDPlus version 2 catchment",kilogram per square kilometer,"Fungicide use on agricultural land in kilograms per square kilometer, 2009 per NHDPlus version 2 catchment",https://www.sciencebase.gov/catalog/item/56fd610fe4b022712b81bf9f,Chemical,https://www.sciencebase.gov/catalog/item/56fd600fe4b022712b81bf9a,localCatch_name
4,CAT_IEOF,Percentage of Horton overland flow as a percent,percent,Mean infiltration-excess overland flow as a percent of streamflow per NHDPlus version 2 catchment,https://www.sciencebase.gov/catalog/item/56f974e2e4b0a6037df06b55,Hydrologic,https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c,localCatch_name
5,CAT_PET,"Mean-annual potential evapotranspiration (PET), estimated using the Hamon (1961) equation. ",mm/year,"PRISM 30-year average Potential Evapotranspiration, 1971-2000 per NHDPlus version 2 catchment",https://www.sciencebase.gov/catalog/item/56f96ed1e4b0a6037df06a2d,Climate,https://www.sciencebase.gov/catalog/item/566ef828e4b09cfe53ca76f7,localCatch_name
6,CAT_RECHG,Mean annual natural ground-water recharge in millimeters per year,mm/yr,Estimated 30 year (1951-1980) mean annual natural groundwater recharge per NHDPlus version 2 catchment. -9999 denotes source data does not cover catchment.,https://www.sciencebase.gov/catalog/item/56f97577e4b0a6037df06b5a,Hydrologic,https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c,localCatch_name
7,CAT_SATOF,Percentage of Dunne overland flow as a percent,percent,Mean saturation overland flow as a percent of streamflow per NHDPlus version 2 catchment. -9999 denotes NODATA or flowline has no catchment. -9999 denotes flowline reach has no catchment.,https://www.sciencebase.gov/catalog/item/56f97acbe4b0a6037df06b6a,Hydrologic,https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c,localCatch_name
8,CAT_TWI,"Topographic wetness index, ln(a/S); where ln is the natural log, a is the upslope area per unit contour length and S is the slope at that point.  See http://ks.water.usgs.gov/Kansas/pubs/reports/wrir.99-4242.html and Wolock and McCabe, 1995 for more detail",ln(m),average topgraphic wetness index per NHDPlus version 2 catchment,https://www.sciencebase.gov/catalog/item/56f97be4e4b0a6037df06b70,Hydrologic,https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c,localCatch_name
9,CAT_WB5100_ANN,Average annual runoff (mm) from McCabe and Wolock's Runoff Model 1951-2000 per NHDPlus version 2 catchment,millimeters per year,Average annual runoff (mm) from McCabe and Wolock's Runoff Model 1951-2000 per NHDPlus version 2 catchment,https://www.sciencebase.gov/catalog/item/56fd5bd0e4b0c07cbfa40473,Hydrologic,https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c,localCatch_name
